sim_index,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,dominant_theta,gene
18,28.75303271,6.894590004,42.49418691,51.11074386,52.1920136,50.28544103,44.71085231,47.95715345,58.89397738,50.47573527,0.863654408,0.014539175,0.083761271,0.011129124,0.013404603,0.013511419,theta_0,NCU03720
19,72.80892639,6.70274226,0.057292362,48.39394368,0.174665926,50.25896293,35.79738453,20.63950007,57.36795153,51.68031801,0.582679116,0.080597637,0.080579894,0.080688572,0.078073761,0.097381019,theta_0,NCU03151
20,39.18301239,51.38008155,0.97346975,50.69469083,0.04737628,49.21859955,39.45141308,39.10431282,65.61158875,49.06873462,0.125929436,0.175769232,0.148544406,0.191178366,0.176488974,0.182089586,theta_3,NCU02915
21,31.39697075,64.61963813,42.10441079,50.02383078,52.35155458,49.7331233,45.51545141,48.32698742,58.05161668,50.695895,0.173129541,0.09280157,0.537156704,0.065722629,0.065354225,0.065835332,theta_2,NCU05260
22,48.59448181,2.57243689,32.58533943,49.81316609,61.64074793,50.45079529,41.2700292,39.9458015,63.20493407,50.83550581,0.719828132,0.056122528,0.050281914,0.059964255,0.057017432,0.056785739,theta_0,NCU06077
23,22.32726673,65.64893341,46.53912242,50.33434131,57.09053143,49.71115081,42.89730395,43.59811024,61.15088976,51.32887223,0.157536256,0.145783072,0.048182302,0.208323243,0.216211915,0.223963211,theta_5,NCU08341
24,30.65589403,56.98599332,0.043237217,48.8028245,0.038659108,49.87665298,39.47858097,39.15909318,63.84704119,49.16450355,0.174560782,0.161893424,0.133007464,0.178381547,0.177556421,0.174600361,theta_3,NCU08265
25,57.23104216,47.49420383,38.56582417,49.61511482,54.90769314,50.72008709,50.69884095,52.14428086,57.77828377,51.30020952,0.202425325,0.143989476,0.262184119,0.131261754,0.12987163,0.130267696,theta_2,NCU01489
26,62.89678912,30.02216853,47.40573118,50.10960309,54.34023032,49.13632939,47.08078512,50.74676839,52.66883324,50.76791417,0.640400858,0.069601458,0.097840473,0.062022077,0.06324009,0.066895044,theta_0,NCU03654
27,57.08678449,46.18642414,45.94248472,50.65755165,62.25093487,49.76561943,39.11276417,35.29394208,60.40606528,51.23618924,0.150928653,0.14117457,0.072037718,0.193358239,0.213233628,0.229267192,theta_5,NCU05485
28,45.52229783,8.583321415,33.46388014,49.29603882,68.3187822,50.25892058,41.3670976,40.90833311,63.73547791,51.18774368,0.868526847,0.024611729,0.032050304,0.022412992,0.026526304,0.025871823,theta_0,NCU06056
29,63.28495776,30.59329386,43.06494078,49.55649624,54.06045162,51.69035061,48.33130533,50.90754838,58.07792633,49.67034826,0.115822421,0.173327282,0.148415091,0.190169771,0.193360807,0.178904628,theta_4,NCU01290
30,72.89022975,83.91585937,21.51223268,25.35580886,73.11204859,91.19106166,31.74647313,81.11275073,26.71946002,99.38620676,0.829253902,0.027523818,0.037100257,0.039368695,0.035360736,0.031392592,theta_0,NCU03871
