test_type,regulators,reg_a,reg_b,reg_c,n_a,n_b,n_c,observed_overlap,expected_overlap,direction,p_upper,p_value,q_value,significant_bh
triple,NCU06108 + NCU03363 + pab-1,Reg3 NCU06108,PostReg7 NCU03363,PostReg8 NCU04799,578,160,88.0,0,0.8887766696124226,depleted,0.9999999999999993,0.8162158288746713,1.0,False
triple,NCU06108 + NCU03363 + rok-1,Reg3 NCU06108,PostReg7 NCU03363,PostReg9 NCU00919,578,160,54.0,0,0.5453856836258049,depleted,0.9999999999999991,1.0,1.0,False
triple,NCU07155 + NCU03363 + pab-1,Reg4 NCU07155,PostReg7 NCU03363,PostReg8 NCU04799,631,160,88.0,0,0.9702734922585444,depleted,0.9999999999999997,0.7513051087882707,1.0,False
triple,NCU07155 + rrp-3 + rok-1,Reg4 NCU07155,PostReg6 NCU04504,PostReg9 NCU00919,631,173,54.0,0,0.6437709491959747,depleted,0.999999999999999,1.0,1.0,False
triple,NCU07155 + rok-1 + has-1,Reg4 NCU07155,PostReg9 NCU00919,PostReg10 NCU09349,631,54,156.0,0,0.5805102200842315,depleted,0.9999999999999998,1.0,1.0,False
triple,NCU07155 + pab-1 + has-1,Reg4 NCU07155,PostReg8 NCU04799,PostReg10 NCU09349,631,88,156.0,0,0.9460166549520809,depleted,0.9999999999999999,0.7700335828000658,1.0,False
triple,NCU07155 + pab-1 + rok-1,Reg4 NCU07155,PostReg8 NCU04799,PostReg9 NCU00919,631,88,54.0,0,0.32746730363725873,depleted,0.9999999999999997,1.0,1.0,False
triple,NCU07155 + NCU03363 + rok-1,Reg4 NCU07155,PostReg7 NCU03363,PostReg9 NCU00919,631,160,54.0,0,0.5953950975222887,depleted,1.0,1.0,1.0,False
triple,lhp-1 + rrp-3 + rok-1,PostReg5 NCU08295,PostReg6 NCU04504,PostReg9 NCU00919,739,173,54.0,0,0.7539567851914821,depleted,0.999999999999999,0.9342743052935513,1.0,False
triple,lhp-1 + NCU03363 + pab-1,PostReg5 NCU08295,PostReg7 NCU03363,PostReg8 NCU04799,739,160,88.0,0,1.136342489348755,depleted,0.9999999999999996,0.6343417218550532,1.0,False
triple,lhp-1 + NCU03363 + rok-1,PostReg5 NCU08295,PostReg7 NCU03363,PostReg9 NCU00919,739,160,54.0,0,0.6973010730094633,depleted,0.9999999999999994,0.9896536494536036,1.0,False
triple,lhp-1 + pab-1 + rok-1,PostReg5 NCU08295,PostReg8 NCU04799,PostReg9 NCU00919,739,88,54.0,0,0.3835155901552048,depleted,0.9999999999999998,1.0,1.0,False
triple,lhp-1 + pab-1 + has-1,PostReg5 NCU08295,PostReg8 NCU04799,PostReg10 NCU09349,739,88,156.0,0,1.1079339271150361,depleted,0.9999999999999994,0.6529442401247568,1.0,False
triple,lhp-1 + rok-1 + has-1,PostReg5 NCU08295,PostReg9 NCU00919,PostReg10 NCU09349,739,54,156.0,0,0.6798685461842267,depleted,0.9999999999999999,1.0,1.0,False
triple,rrp-3 + NCU03363 + pab-1,PostReg6 NCU04504,PostReg7 NCU03363,PostReg8 NCU04799,173,160,88.0,0,0.2660179305241334,depleted,0.9999999999999997,1.0,1.0,False
triple,rrp-3 + NCU03363 + rok-1,PostReg6 NCU04504,PostReg7 NCU03363,PostReg9 NCU00919,173,160,54.0,0,0.16323827554890005,depleted,0.9999999999999999,1.0,1.0,False
triple,rrp-3 + NCU03363 + has-1,PostReg6 NCU04504,PostReg7 NCU03363,PostReg10 NCU09349,173,160,156.0,0,0.47157724047460015,depleted,0.9999999999999998,1.0,1.0,False
triple,rrp-3 + pab-1 + rok-1,PostReg6 NCU04504,PostReg8 NCU04799,PostReg9 NCU00919,173,88,54.0,0,0.08978105155189503,depleted,0.9999999999999998,1.0,1.0,False
triple,rrp-3 + pab-1 + has-1,PostReg6 NCU04504,PostReg8 NCU04799,PostReg10 NCU09349,173,88,156.0,0,0.25936748226103007,depleted,0.9999999999999998,1.0,1.0,False
triple,rrp-3 + rok-1 + has-1,PostReg6 NCU04504,PostReg9 NCU00919,PostReg10 NCU09349,173,54,156.0,0,0.15915731866017757,depleted,0.9999999999999999,1.0,1.0,False
triple,NCU03363 + pab-1 + rok-1,PostReg7 NCU03363,PostReg8 NCU04799,PostReg9 NCU00919,160,88,54.0,0,0.08303449854510524,depleted,1.0,1.0,1.0,False
triple,NCU03363 + pab-1 + has-1,PostReg7 NCU03363,PostReg8 NCU04799,PostReg10 NCU09349,160,88,156.0,0,0.2398774402414151,depleted,0.9999999999999998,1.0,1.0,False
triple,NCU03363 + rok-1 + has-1,PostReg7 NCU03363,PostReg9 NCU00919,PostReg10 NCU09349,160,54,156.0,0,0.14719752014814108,depleted,0.9999999999999996,1.0,1.0,False
triple,pab-1 + rok-1 + has-1,PostReg8 NCU04799,PostReg9 NCU00919,PostReg10 NCU09349,88,54,156.0,0,0.0809586360814776,depleted,0.9999999999999996,1.0,1.0,False
